Case,Baseline Time,C2L Time,C2LSAM Time
150b5f8cac40bb4e0fcbdd65c3c04701-PRP_100_550,1000.00,1000.00,1000.00
00f4aca773e5675f35263dcd46b15bde-vmpc_28.shuffled-as.sat05-1957,49.00,69.43,9.90
177a4ad8fd76ad8240387998112c3168-SC23_Timetable_C_481_E_49_Cl_32_D_6_T_50,1000.00,1000.00,1000.00
fe19a31b76cbba5901e16ce36c7578ed-C208_FA_UT_3254,0.01,0.48,1.44
0d3e99a07b6a6b67ac59d706c0af9d68-grs-32-160,1000.00,1000.00,1000.00
8c7477dc33a412514998a2fd6b32dbf5-intervals855,1000.00,1000.00,1000.00
37d40a1092b58ad28285b9453872d211-DecompressReader_read_12,1000.00,1000.00,1000.00
7dc81d3cb9066f8bc06ceffbca237572-TableModel_output_7_3_9.bul_.dimacs,1000.00,1000.00,1000.00
f20c2aa0f9cced05a74031e0a3afaa1a-SC23_Timetable_C_473_E_50_Cl_32_D_6_T_50,1000.00,1000.00,1000.00
0a279c478775cdeede51ad431aebf200-24_0,1000.00,1000.00,1000.00
85240babab8083e1b381e2971d875ab8-satcoin-genesis-UNSAT-17800,1000.00,1000.00,1000.00
b5cede38496a803dcfa155a5f4295c47-SC23_Timetable_C_476_E_50_Cl_32_D_6_T_50,1000.00,1000.00,1000.00
71270454196ae092b28d0a74300a85e1-Schur_161_5_d40,358.61,272.80,348.22
54ab5a53d2fdfcda16ec74768b29f901-rphp_p30_r30,1000.00,1000.00,1000.00
396245861b331d45e1345bd43fe352e2-asconhashv12_opt64_H8_M2-1yQCyA0j_m2_6.c,635.93,1000.00,1000.00
af5838e83024d2dee3942be8d8e35fec-TableModel_output_8_4_8.bul_.dimacs,999.97,1000.00,1000.00
8ade10da9731ce31d103c1687ff40a3d-brent_63_0.15,1.82,23.54,1000.00
385e2c7010a419a9bd47b9258c9d2903-tseitin_d3_n200,1000.00,1000.00,1000.00
2c9dc96b7a8b0410e64dd33f7e00a0c1-30_2,999.99,1000.00,1000.00
090eefb9bc472f6478e70baf2c6d2403-PRP_100_150,1000.00,1000.00,1000.00
ddd3b43476c18cf483aac233d4dc1c68-PRP_20_40,1000.00,1000.00,1000.00
1ce81dbba1292bf791e194b17aa2a219-satch2ways15u,998.54,1000.00,356.61
b3840e295097a13e6697fff6be813eeb-php16-mixed-15percent-blocked,1000.00,1000.00,1000.00
d0364ea3e1680c6da7e982e6b0264af6-new-difficult-26-243-24-70,0.02,8.69,604.54
578f9377bfbfcc6ea3a18eb630667956-ferry8_ks99i.renamed-as.sat05-4005,0.16,1.21,2.85
1932e1e8f0c78372759909e45a19ecc7-brent_69_0.3,17.31,28.39,1000.00
7b4622a3ab523264378a560199de47ed-ER_400_20_4.apx_1_DC-ST,53.25,60.17,64.53
be5c82b97513a31e0b3bcc1c231018ad-asconhashv12_opt64_H15_M2-kwhXs2juqFoKAYA_m12_13_U16.c,359.74,1000.00,1000.00
571a2f223784fb92a53b4cc8cc8b569e-clqcolor-08-06-07.shuffled-as.sat05-1257,0.80,2.24,1.98
8db36208fc6ce43b4002cf048c549b3f-WS_400_32_90_10.apx_1_DC-AD,1000.00,1000.00,1000.00
361290e60ab2a8ea9dccfcff65bf0778-satcoin-genesis-UNSAT-9880,1000.00,1000.00,1000.00
26114429758a203d651f4df87c94de4c-sgen1-unsat-97-100.cnf.mis-72.debugged,4.41,4.57,12.24
211938776d92f11870a687abd11d55a4-iso-icl004.shuffled-as.sat05-3238,0.01,0.14,0.68
9f3ef12b5b68f92eb9265721ea73bb03-asconhashv12_opt64_H9_M2-Jdds95CIv_m1_5.c,980.99,1000.00,1000.00
1b02025658c2a23e1fd3ce0a9c3633cb-asconhashv12_opt64_H8_M2-I61h2mH5_m2_6.c,1000.00,1000.00,1000.00
b09585f2346c207e9e14a3daf0de46cf-CNF_to_alien_11,549.50,848.82,249.96
9e18c079efdc17ceade5c7a330b507d2-SC23_Timetable_C_474_E_50_Cl_32_D_6_T_50,1000.00,1000.00,1000.00
835ac60ca83af6f334b64b61c4ad345b-tseitin_d3_n160,1000.00,1000.00,1000.00
a292411f3f563a47c05a78f8295163dc-hash_table_find_safety_size_26,1000.00,1000.00,1000.00
7d58f2f0c79cbcad0496ced184ba0680-TableSymModel_output_6_3_8.bul_.dimacs,1000.00,1000.00,1000.00
a8dc92a9c0434576b47c82c94ab5c446-Grain_no_init_ver1_out200_known_last105_0_u,152.10,215.24,183.07
d0fe6bf914469ca51675bac9078a2c0b-asconhashv12_opt64_H10_M2-pH7B6T6Vub_m6_7.c,618.83,1000.00,1000.00
03a43a7ea55217f53542ed3f029963af-satch2ways16w,1000.00,1000.00,1000.00
0811f761eee5e4ef28196fd98884a67b-multiplier_13bits__miter_15,958.13,1000.00,1000.00
d17aa530bbd09452b0f32daf4ab9c8f0-tph8,1000.00,1000.00,1000.00
bd0b055b890a9ace598a0c4aba40de30-sat-bench-trig-bhaskara,1000.00,1000.00,1000.00
10196804504080e7107809a2e5b3bfcc-ContextModel_output_6_5_6.bul_.dimacs,447.38,231.72,71.89
f88afbcd8b4c29a8c1b3518caa4e949c-cliquecoloring_n16_k7_c6,1000.00,1000.00,1000.00
6e5efd19744842d1fa5415173bffbf6b-tseitin_d3_n180000,1000.00,1000.00,1000.00
71bca76153c6ee65b72a517fd658a42d-iso-brn100.shuffled-as.sat05-3025,0.01,0.32,1.15
578b5e6a2f0b295168cb6c5420810a72-php18-mixed-35percent-blocked,268.74,97.60,121.73
0ae0c5a4fb9001d63669a0aa5b592167-multiplier_16bits__miter_19,1000.00,1000.00,1000.00
af3d5273605b21b9d4c56dd46cbf366a-SCPC-700-82,22.04,154.86,150.39
8e30bfdb721ca0a20031c79a76f9aa7c-satcoin-genesis-UNSAT-18800,1000.00,1000.00,1000.00
e6d247292b525447a220323901842e4c-or_randxor_k3_n540_m540,1000.00,1000.00,1000.00
3498eea73b78ddc444cbee48b121c541-grs-64-160,1000.00,1000.00,1000.00
d5efaaee0197822c2676e45bac5068b2-SC23_Timetable_C_484_E_50_Cl_33_D_6_T_50,1000.00,1000.00,1000.00
33cfa309d10e1d4fe30f1302807f42ce-SC23_Timetable_C_482_E_50_Cl_33_D_6_T_50,1000.00,1000.00,1000.00
3f4174289e971950c290f27892169bc5-intervals607,999.99,1000.00,1000.00
